ranker,team,players_contracted,weekly_wages,annual_wages,percent_estimated
1, Inter Miami,32,$582343 (€ 553065 £ 455871),$30281841 (€ 28759359 £ 23705306),0%
2, Nashville SC,31,$368879 (€ 350333 £ 288767),$19181716 (€ 18217317 £ 15015879),0%
3, Houston Dynamo,30,$350833 (€ 333194 £ 274640),$18243307 (€ 17326086 £ 14281271),0%
4, LA Galaxy,24,$347538 (€ 330065 £ 272061),$18071992 (€ 17163386 £ 14147162),0%
5, NE Revolution,31,$334233 (€ 317429 £ 261645),$17380132 (€ 16506307 £ 13605558),0%
6, LAFC,27,$324059 (€ 307767 £ 253681),$16851091 (€ 16003869 £ 13191415),0%
7, FC Cincinnati,28,$311042 (€ 295404 £ 243491),$16174191 (€ 15360998 £ 12661523),0%
8, Chicago Fire,27,$301538 (€ 286377 £ 236051),$15679962 (€ 14891621 £ 12274629),0%
9, NY Red Bulls,27,$301409 (€ 286255 £ 235950),$15673252 (€ 14885248 £ 12269374),0%
10, Sporting KC,25,$296566 (€ 281656 £ 232159),$15421437 (€ 14646092 £ 12072249),0%
11, FC Dallas,36,$291632 (€ 276970 £ 228296),$15164889 (€ 14402442 £ 11871417),0%
12, Seattle Sounders,27,$288032 (€ 273550 £ 225478),$14977644 (€ 14224612 £ 11724837),0%
13, D.C. United,27,$282729 (€ 268515 £ 221327),$14701928 (€ 13962756 £ 11509003),0%
14, Austin,25,$279435 (€ 265386 £ 218748),$14530638 (€ 13800082 £ 11374912),0%
15, Columbus Crew,25,$269070 (€ 255542 £ 210634),$13991639 (€ 13288177 £ 10952971),0%
16, St. Louis,32,$265622 (€ 252268 £ 207935),$13812356 (€ 13117910 £ 10812624),0%
17, Orlando City,29,$264652 (€ 251346 £ 207175),$13761879 (€ 13069973 £ 10773109),0%
18, Real Salt Lake,35,$260429 (€ 247335 £ 203870),$13542297 (€ 12861429 £ 10601217),0%
19, Charlotte,31,$255348 (€ 242510 £ 199892),$13278103 (€ 12610518 £ 10394398),0%
20, SJ Earthquakes,30,$252203 (€ 239523 £ 197430),$13114545 (€ 12455185 £ 10266363),0%
21, Minnesota Utd,29,$247075 (€ 234653 £ 193416),$12847910 (€ 12201954 £ 10057634),0%
22, NYCFC,29,$246857 (€ 234446 £ 193245),$12836554 (€ 12191170 £ 10048744),0%
23, Portland Timbers,23,$246653 (€ 234252 £ 193085),$12825932 (€ 12181082 £ 10040430),0%
24, Colorado Rapids,26,$241957 (€ 229792 £ 189409),$12581752 (€ 11949178 £ 9849277),0%
25, Atlanta Utd,26,$219234 (€ 208211 £ 171621),$11400144 (€ 10826978 £ 8924289),0%
26, Philadelphia Union,29,$218363 (€ 207384 £ 170939),$11354853 (€ 10783964 £ 8888835),0%
