Sebastián Driussi ,179,80,26(2),2311	,11	,4	,1	,-	,2.7	,84.6	,0.8	,3	,7.21
Zan Kolmanic ,178,69,6,432	,-	,-	,-	,-	,0.5	,84.6	,0.3	,-	,6.89
Julio Cascante ,186,75,24,2065	,2	,2	,5	,-	,1.1	,87.8	,3.1	,2	,6.77
Brad Stuver ,191,82,34,3060	,-	,-	,-	,-	,-	,72.2	,0.1	,2	,6.75
Dani Pereira ,175,68,29(3),2530	,-	,5	,7	,1	,0.5	,88.2	,0.2	,-	,6.73
Emiliano Rigoni ,180,87,25(8),2200	,5	,4	,3	,-	,1.4	,78	,0.6	,2	,6.67
Jon Gallagher ,175,72,31(3),2793	,5	,4	,4	,-	,0.8	,80.5	,0.5	,-	,6.64
Leo Väisänen ,186,76,20(1),1763	,1	,1	,4	,-	,0.5	,87.7	,3	,-	,6.64
Alexander Ring ,178,73,25(3),2157	,2	,1	,3	,-	,0.7	,84.4	,0.9	,1	,6.62
Nick Lima ,176,80,25(8),2419	,1	,3	,6	,-	,0.5	,82.1	,0.7	,1	,6.60
Gyasi Zardes ,188,80,17(11),1474	,6	,2	,3	,-	,1.1	,71.5	,1.7	,-	,6.58
Owen Wolff ,175,66,21(6),1885	,2	,2	,3	,-	,0.6	,83.7	,0.3	,1	,6.55
Diego Fagúndez ,173,64,14(5),1031	,2	,1	,1	,-	,1	,86.1	,0.1	,1	,6.54
Matt Hedges ,194,94,3(3),306	,1	,-	,-	,-	,0.7	,87.2	,1.8	,-	,6.48
Jhojan Valencia ,172,67,16(11),1435	,-	,1	,4	,-	,0.4	,87.6	,0.7	,1	,6.48
Sofiane Djeffal ,180,79,3(4),312	,-	,-	,1	,-	,0.1	,82.8	,1.1	,-	,6.45
Aleksandar Radovanovic ,189,83,4(3),353	,-	,-	,-	,-	,0.3	,81.2	,2.1	,-	,6.44
Ethan Finlay ,174,73,20(14),1700	,5	,3	,3	,-	,0.7	,78.8	,0.4	,2	,6.43
Adam Lundkvist ,175,65,8(15),854	,-	,2	,2	,-	,0.3	,74	,0.5	,-	,6.37
Memo Rodríguez ,173,66,2(7),236	,-	,-	,-	,-	,0.8	,73.3	,0.1	,-	,6.26
Rodney Redes ,173,72,5(6),484	,1	,1	,1	,1	,0.5	,76.1	,0.4	,-	,6.24
CJ Fodrey ,188,84,0(3),29	,-	,-	,-	,-	,-	,91.7	,0.3	,-	,6.24
Maximiliano Urruti ,184,75,10(15),970	,1	,-	,3	,-	,0.9	,74.6	,0.1	,-	,6.20
Will Bruin ,188,88,2(17),335	,3	,1	,2	,-	,0.4	,82.3	,0.5	,-	,6.18
Kipp Keller ,188,82,3(4),436	,-	,-	,-	,-	,0.6	,90.4	,1.1	,-	,6.16
Hector Jimenez ,176,64,1(1),51	,-	,-	,-	,-	,-	,72.2	,0.5	,-	,6.13
