Erik Thommy ,175,72,26(4),2331	,7	,4	,3	,-	,2.6	,84.2	,0.2	,1	,6.93
Johnny Russell ,178,79,18(11),1735	,4	,3	,5	,-	,1.6	,78.2	,1.1	,-	,6.78
Memo Rodríguez ,173,66,18(8),1619	,2	,5	,7	,-	,1.2	,84.1	,0.3	,2	,6.74
Jake Davis ,178,70,25(2),2230	,3	,3	,9	,1	,0.6	,81.4	,0.4	,2	,6.65
Robert Castellanos ,185,86,10(4),1032	,1	,-	,2	,-	,0.5	,86.2	,3.4	,-	,6.63
Nemanja Radoja ,186,77,25,2131	,1	,3	,5	,-	,0.6	,87.9	,1.2	,1	,6.61
Dániel Sallói ,185,70,23(7),2130	,3	,3	,4	,-	,1.6	,78.5	,0.3	,-	,6.61
Dany Rosero ,187,87,22(1),1895	,2	,-	,5	,-	,0.4	,87.1	,1.8	,-	,6.61
Stephen Afrifa ,180,68,9(15),794	,4	,2	,-	,-	,1.3	,75.3	,0.4	,-	,6.59
Alan Pulido ,178,82,22(9),1962	,7	,4	,1	,-	,1.4	,83.1	,0.5	,1	,6.57
William Agada ,175,75,20(12),1731	,10	,3	,1	,1	,2.7	,78.5	,1.3	,3	,6.54
Kayden Pierre ,175,70,7,460	,-	,1	,-	,-	,0.1	,86.7	,-	,-	,6.54
Tim Leibold ,174,72,24(4),2205	,1	,1	,5	,-	,0.5	,83.8	,0.7	,2	,6.52
Logan Ndenbe ,174,72,3(2),240	,-	,-	,1	,-	,1	,85.7	,0.4	,-	,6.52
Rémi Walter ,174,72,14(5),1283	,3	,-	,-	,-	,0.4	,92.4	,0.6	,-	,6.51
Robert Voloder ,185,79,19(2),1760	,-	,1	,2	,-	,0.1	,85.5	,1.2	,-	,6.48
Khiry Shelton ,191,86,9(10),1024	,-	,2	,3	,-	,0.3	,87.8	,0.9	,-	,6.44
Andreu Fontàs ,188,91,16(1),1411	,-	,1	,4	,-	,0.1	,88.1	,0.8	,-	,6.43
Marinos Tzionis ,169,66,4(5),278	,1	,-	,-	,-	,0.3	,83.1	,0.2	,-	,6.37
Tim Melia ,185,95,28,2520	,-	,-	,1	,-	,-	,60.6	,0.2	,-	,6.37
Zorhan Bassong ,179,72,14(7),1250	,-	,1	,3	,1	,0.2	,84.3	,0.8	,-	,6.37
Joaquín Fernández ,190,72,2,117	,-	,-	,-	,-	,0.5	,80.3	,1.5	,-	,6.25
Alenis Vargas ,185,80,8(12),632	,2	,1	,1	,-	,0.6	,76.1	,0.4	,-	,6.23
Felipe Hernández ,173,66,2(5),373	,-	,-	,1	,-	,0.4	,84.7	,0.3	,-	,6.04
John Pulskamp ,193,95,6,540	,-	,-	,1	,-	,-	,55.6	,-	,-	,5.97
