Riqui Puig ,169,56,28(1),2526	,7	,4	,8	,-	,3	,86	,-	,6	,7.37
Gastón Brugman ,178,75,21(1),1897	,2	,1	,2	,-	,1.3	,88.8	,0.4	,2	,7.07
Douglas Costa ,172,70,15(4),1223	,3	,7	,2	,1	,2.1	,84.5	,0.2	,3	,7.05
Tyler Boyd ,183,74,28(6),2341	,7	,4	,3	,-	,1.9	,81.2	,0.2	,-	,6.91
Billy Sharp ,175,70,8(4),712	,6	,1	,1	,-	,1.9	,78.9	,0.6	,1	,6.73
Mark Delgado ,176,67,25(5),2319	,2	,2	,6	,-	,0.7	,87.7	,0.5	,-	,6.71
Maya Yoshida ,189,78,12,1080	,1	,1	,3	,-	,0.8	,91	,2	,-	,6.71
Calegari ,170,70,22,1936	,-	,1	,2	,-	,0.5	,87.8	,0.3	,-	,6.70
Raheem Edwards ,173,68,21(9),1876	,2	,3	,8	,-	,0.6	,85	,0.8	,-	,6.69
Diego Fagúndez ,173,64,6(5),575	,1	,1	,-	,-	,0.5	,85.1	,0.2	,-	,6.58
Jalen Neal ,191,77,14(2),1289	,1	,-	,3	,-	,0.2	,94.1	,0.9	,-	,6.57
Jonathan Pérez ,168,72,0(6),108	,-	,1	,1	,-	,0.8	,91.1	,-	,-	,6.50
Memo Rodríguez ,173,66,9(3),670	,1	,1	,2	,-	,1.3	,83.7	,0.1	,-	,6.50
Jonathan Klinsmann ,194,89,8(2),831	,-	,-	,-	,-	,-	,70.3	,0.2	,-	,6.48
Jonathan Bond ,196,85,24,2050	,-	,-	,-	,-	,-	,80.3	,0.3	,2	,6.48
Dejan Joveljic ,181,75,19(13),1629	,6	,3	,3	,-	,1.5	,78.5	,0.9	,1	,6.46
Preston Judd ,191,95,6(11),641	,3	,1	,2	,-	,1.8	,69.6	,0.5	,-	,6.44
Julián Aude ,180,71,14(8),1196	,-	,1	,6	,-	,0.5	,84.1	,0.5	,-	,6.39
Chicharito ,175,73,7(2),689	,1	,1	,3	,1	,2.7	,80.9	,0.6	,-	,6.39
Eriq Zavaleta ,185,84,4(7),484	,2	,-	,1	,-	,0.4	,89.4	,0.8	,-	,6.34
Edwin Cerrillo ,175,79,9(2),807	,-	,1	,3	,-	,0.5	,93.1	,0.2	,-	,6.32
Kelvin Leerdam ,178,79,13(7),1202	,1	,1	,2	,-	,0.1	,89.1	,0.6	,-	,6.31
Gino Vivi ,172,0,1(2),80	,-	,-	,-	,-	,-	,94.6	,-	,-	,6.30
Martín Cáceres ,180,77,15,1311	,2	,-	,1	,1	,0.3	,90.7	,1.1	,-	,6.29
Uri Rosell ,183,70,12(4),850	,-	,1	,-	,-	,0.2	,93.2	,0.6	,-	,6.29
Michael Barrios ,163,61,0(6),109	,1	,-	,-	,-	,0.8	,80.6	,0.2	,-	,6.28
Mauricio Cuevas ,170,54,5(3),425	,-	,-	,2	,-	,-	,87.3	,0.4	,-	,6.27
Daniel Aguirre ,170,75,3(22),557	,1	,1	,3	,-	,0.6	,88.4	,0.2	,-	,6.20
Tony Alfaro ,187,82,4(2),382	,-	,-	,1	,-	,-	,86.3	,0.7	,-	,6.18
Efraín Álvarez ,173,68,5(5),380	,-	,-	,-	,-	,0.8	,86.5	,-	,-	,6.11
Chris Mavinga ,183,81,13(6),1128	,-	,-	,1	,1	,0.3	,94.2	,0.7	,-	,6.09
Novak Micovic ,190,77,2,180	,-	,-	,-	,-	,-	,83.7	,-	,-	,6.05
Aaron Bibout ,193,0,0(2),21	,-	,-	,-	,-	,0.5	,80	,0.5	,-	,5.99
Séga Coulibaly ,182,89,1(2),87	,-	,-	,-	,-	,-	,89.8	,0.3	,-	,5.94
