Hany Mukhtar ,173,72,32(4),3021	,15	,9	,6	,-	,3.4	,82	,0.3	,7	,7.23
Elliot Panicco ,196,93,2,180	,-	,-	,-	,-	,-	,64	,-	,-	,7.06
Walker Zimmerman ,191,89,24(2),2025	,2	,1	,3	,1	,0.5	,84	,2.8	,1	,6.93
Joe Willis ,195,86,34,3060	,-	,-	,-	,-	,-	,60.4	,0.5	,2	,6.84
Shaq Moore ,180,74,33(1),2949	,-	,4	,4	,1	,0.3	,80.3	,0.7	,1	,6.82
Jack Maher ,188,79,33,2970	,1	,-	,3	,-	,0.3	,88.3	,2.4	,-	,6.75
Fafá Picault ,173,63,20(9),1719	,5	,1	,3	,1	,1.2	,70.2	,1.3	,1	,6.73
Daniel Lovitz ,178,77,34,3028	,-	,4	,6	,2	,0.6	,77.7	,1.1	,-	,6.71
Lukas MacNaughton ,185,86,14(2),1173	,1	,-	,1	,-	,0.6	,87.1	,1.9	,1	,6.68
Dax McCarty ,176,68,24(4),1957	,1	,2	,7	,-	,0.4	,84.6	,0.5	,-	,6.66
Aníbal Godoy ,183,75,21(4),1852	,-	,-	,7	,-	,0.3	,90.3	,0.8	,1	,6.60
Josh Bauer ,185,79,4(6),514	,-	,-	,2	,-	,0.2	,86.5	,1.3	,-	,6.54
Randall Leal ,170,74,15(6),1152	,3	,-	,3	,-	,0.9	,81.3	,0.1	,1	,6.51
Teal Bunbury ,188,80,20(13),1690	,3	,1	,7	,-	,1.3	,66.7	,2.5	,-	,6.48
Alex Muyl ,180,79,25(9),2173	,1	,-	,4	,-	,0.7	,76.2	,0.7	,-	,6.47
Jacob Shaffelburg ,178,75,16(14),1423	,3	,1	,1	,-	,1	,66.3	,0.4	,1	,6.47
Sam Surridge ,191,77,8(3),680	,2	,-	,2	,-	,1.4	,68.3	,1.5	,1	,6.47
C.J. Sapong ,185,84,4(4),379	,-	,-	,-	,-	,0.8	,69.8	,2.6	,-	,6.45
Sean Davis ,183,75,22(12),1992	,-	,1	,-	,-	,0.4	,84.7	,0.6	,-	,6.45
Tah Brian Anunga ,180,81,5(12),565	,-	,-	,2	,-	,0.1	,89	,0.3	,-	,6.24
Ethan Zubak ,185,84,0(9),136	,-	,-	,1	,-	,0.2	,66	,1.6	,-	,6.21
Ján Gregus ,189,82,1(14),213	,-	,-	,1	,-	,0.1	,84.5	,0.1	,-	,6.17
Taylor Washington ,178,77,3(19),469	,1	,-	,5	,1	,0.2	,82.9	,0.5	,-	,6.16
Luke Haakenson ,178,79,2(12),265	,-	,-	,2	,-	,0.1	,65.8	,0.4	,-	,6.08
