Evander ,179,76,28(1),2552	,15	,15	,9	,-	,3.4	,82	,0.3	,10	,7.77
Santiago Moreno ,178,67,29(3),2491	,6	,9	,1	,-	,1.9	,81	,0.7	,1	,7.19
Jonathan Rodríguez ,181,83,28(2),2518	,16	,5	,7	,-	,3.3	,75	,1.9	,3	,7.12
Felipe Mora ,175,68,23(7),1995	,14	,2	,3	,1	,2.2	,73.9	,1.5	,-	,6.89
Dario Zuparic ,188,84,25(4),2268	,-	,-	,6	,-	,0.2	,87.7	,2.4	,2	,6.81
James Pantemis ,185,77,15(1),1390	,-	,-	,-	,-	,-	,68.3	,0.4	,-	,6.74
Juan Mosquera ,180,72,35,2884	,1	,4	,1	,-	,0.6	,85.8	,0.6	,1	,6.72
Antony ,185,75,21(13),1951	,6	,4	,-	,-	,1.1	,77	,0.3	,2	,6.71
Claudio Bravo ,179,68,20(3),1648	,-	,1	,3	,-	,0.4	,80	,0.5	,-	,6.70
Zac McGraw ,193,93,10(3),856	,-	,-	,2	,-	,0.2	,85	,2.5	,1	,6.69
David Ayala ,175,62,20(11),1568	,1	,1	,2	,-	,0.5	,86.4	,0.9	,-	,6.67
Miguel Araujo ,181,75,18(5),1631	,-	,2	,2	,-	,0.4	,84.2	,1.1	,-	,6.54
Diego Chará ,170,68,29(4),2475	,-	,-	,8	,1	,-	,91.1	,0.2	,-	,6.46
Kamal Miller ,183,75,22(2),2005	,-	,-	,9	,-	,0.3	,85.3	,1.4	,-	,6.43
Cristhian Paredes ,183,70,13(18),1346	,-	,2	,4	,-	,0.3	,81.5	,0.5	,-	,6.41
Maxime Crépeau ,185,88,20,1758	,-	,-	,2	,1	,-	,75.7	,0.4	,-	,6.39
Eryk Williamson ,175,77,10(19),1106	,2	,2	,5	,-	,0.3	,85.6	,0.1	,-	,6.37
Dairon Asprilla ,180,75,7(12),680	,1	,1	,1	,-	,0.5	,77.2	,1.1	,-	,6.36
Eric Miller ,185,79,8(18),1030	,1	,1	,3	,-	,0.2	,84.5	,0.6	,-	,6.34
Mason Toye ,191,82,1(4),145	,-	,-	,-	,-	,1.4	,84.6	,0.2	,-	,6.20
Adolfo Enriquez ,175,0,0(1),5	,-	,-	,-	,-	,-	,100	,-	,-	,6.17
Finn Surman ,190,81,1(1),97	,-	,-	,-	,-	,-	,78.8	,0.5	,-	,6.12
Nathan Fogaça ,178,73,1(15),174	,1	,-	,1	,-	,0.5	,60.5	,0.5	,-	,6.11
Sawyer Jura ,0,0,0(1),2	,-	,-	,-	,-	,-	,50	,-	,-	,6.08
Marvin Loría ,178,77,0(1),1	,-	,-	,-	,-	,-	,-	,-	,-	,6.00
Tega Ikoba ,191,90,0(2),8	,-	,-	,-	,-	,-	,-	,-	,-	,5.98
Larrys Mabiala ,189,84,1,46	,-	,-	,-	,-	,1	,90.2	,1	,-	,4.91
