Cristian Espinoza ,175,73,35,3156	,13	,8	,6	,-	,1.9	,77.7	,0.1	,12	,7.39
Rodrigues ,188,76,35,3121	,1	,1	,6	,-	,0.7	,85.1	,2.4	,2	,7.10
Carlos Akapo ,179,70,26(3),2276	,2	,3	,3	,-	,0.9	,77.5	,1.8	,-	,6.95
Jeremy Ebobisse ,183,82,35,3054	,10	,2	,3	,-	,1.8	,77.5	,0.8	,2	,6.92
Daniel ,188,93,23,2067	,-	,-	,1	,1	,-	,72.7	,0.3	,4	,6.90
Jackson Yueill ,175,76,32,2847	,1	,4	,6	,-	,0.9	,88.2	,0.2	,-	,6.71
JT Marcinkowski ,185,84,12(1),1111	,-	,-	,1	,-	,-	,65.2	,0.1	,-	,6.69
Paul Marie ,170,69,22(12),2076	,1	,1	,8	,-	,0.7	,77	,0.5	,-	,6.64
Jamiro Monteiro ,172,63,26(3),2230	,1	,3	,4	,1	,1	,87.9	,0.1	,-	,6.58
Cade Cowell ,183,79,20(4),1620	,1	,2	,2	,-	,1.7	,69.8	,0.3	,1	,6.53
Miguel Trauco ,175,62,24(4),2057	,3	,-	,2	,-	,0.8	,80.7	,0.3	,1	,6.52
Daniel Munie ,183,82,1(2),109	,-	,-	,1	,-	,0.3	,72.2	,1.7	,-	,6.48
Jonathan Mensah ,188,83,22(5),2069	,-	,-	,3	,-	,0.6	,87.9	,2.2	,-	,6.47
Carlos Gruezo ,173,67,26(3),2243	,-	,2	,8	,-	,0.4	,85.4	,0.4	,-	,6.46
Matthew Hoppe ,191,80,5(3),478	,2	,-	,1	,-	,1.3	,74.4	,0.1	,1	,6.44
Tanner Beason ,185,80,15(8),1402	,-	,1	,1	,1	,0.3	,82.8	,1.5	,-	,6.42
Jack Skahan ,178,78,4(6),405	,1	,1	,2	,-	,0.4	,83.8	,0.2	,-	,6.41
Niko Tsakiris ,178,70,7(9),645	,-	,-	,4	,-	,0.4	,84.2	,0.3	,-	,6.28
Benjamin Kikanovic ,183,75,7(17),700	,1	,-	,2	,-	,0.6	,75.9	,1	,-	,6.24
Judson ,168,76,4(13),498	,-	,-	,5	,1	,0.1	,87.1	,0.2	,-	,6.21
Tommy Thompson ,170,72,1(18),339	,-	,-	,1	,-	,0.4	,85.4	,0.1	,-	,6.17
Michael Baldisimo ,168,75,3(7),292	,-	,-	,2	,-	,-	,88.8	,0.2	,-	,6.16
Ousseni Bouda ,175,78,0(15),139	,1	,-	,2	,-	,0.5	,75	,0.5	,-	,6.09
Ayo Akinola ,178,81,0(7),52	,-	,-	,-	,-	,0.1	,85.7	,-	,-	,6.03
Cam Cilley ,180,82,0(2),2	,-	,-	,-	,-	,-	,40	,-	,-	,6.00
