Eduard Löwen ,188,91,27(4),2475	,6	,9	,5	,-	,2.7	,74.6	,1	,8	,7.33
João Klauss ,190,84,16(5),1499	,10	,2	,1	,-	,2.3	,66.1	,2.2	,5	,7.14
Tim Parker ,188,88,31,2746	,5	,-	,11	,-	,0.6	,83.9	,2.4	,1	,6.88
Roman Bürki ,187,85,35,3150	,-	,-	,1	,-	,-	,57.6	,0.4	,1	,6.83
Lucas Bartlett ,191,91,12(2),1068	,-	,1	,4	,-	,0.4	,79.2	,2.2	,-	,6.82
Nicholas Gioacchini ,183,0,24(10),2149	,10	,1	,2	,-	,1.3	,67.4	,1.9	,-	,6.80
Njabulo Blom ,173,66,23(5),2099	,1	,1	,7	,-	,0.5	,83.2	,0.3	,1	,6.71
Joakim Nilsson ,185,78,8(1),684	,-	,-	,1	,-	,-	,86.1	,1.9	,-	,6.69
Samuel Adeniran ,196,91,12(8),1029	,8	,1	,2	,1	,1.8	,58.6	,2	,2	,6.67
Kyle Hiebert ,183,85,25(4),2250	,2	,-	,5	,1	,0.4	,73.8	,2.1	,-	,6.62
Rasmus Alm ,174,70,13(8),1099	,3	,2	,4	,-	,0.6	,62.9	,0.7	,-	,6.61
Joshua Yaro ,180,74,10(7),991	,-	,-	,2	,-	,-	,81.8	,1.8	,1	,6.61
Jared Stroud ,179,72,27(6),2143	,5	,5	,9	,-	,1.4	,70.7	,0.2	,-	,6.61
Indiana Vassilev ,175,72,27(9),2296	,2	,4	,2	,-	,1	,78.8	,0.3	,1	,6.60
Célio Pompeu ,178,74,9(19),1019	,2	,-	,2	,-	,0.9	,71.9	,0.2	,-	,6.56
Aziel Jackson ,175,70,13(14),1179	,1	,4	,4	,-	,1.1	,78.4	,0.3	,-	,6.51
John Nelson ,175,74,14(3),1268	,-	,-	,-	,1	,0.3	,72.6	,1.4	,-	,6.50
Jake Nerwinski ,183,79,26(4),2292	,-	,2	,5	,1	,0.2	,74.3	,1.1	,-	,6.50
Anthony Markanich ,185,0,8(3),717	,1	,-	,4	,-	,0.5	,67.6	,1.5	,-	,6.50
Akil Watts ,178,79,12(8),970	,-	,1	,-	,-	,0.2	,76	,0.4	,-	,6.45
Tomás Ostrák ,176,75,13(18),1162	,3	,2	,7	,-	,1	,79.3	,0.3	,-	,6.39
Miguel Perez ,173,63,7(8),607	,1	,-	,2	,-	,0.7	,71.8	,0.9	,-	,6.33
Ben Lundt ,197,100,1,90	,-	,-	,-	,-	,-	,76.2	,1	,-	,6.30
Jon Bell ,180,75,2(1),143	,-	,-	,2	,-	,-	,76.9	,0.3	,-	,6.25
Selmir Pidro ,179,77,0(2),41	,-	,-	,-	,-	,-	,82.4	,0.5	,-	,6.20
Nökkvi Thórisson ,188,0,1(8),264	,1	,-	,-	,-	,0.6	,79.4	,0.4	,-	,6.20
John Klein ,170,63,0(2),22	,-	,-	,-	,-	,-	,50	,-	,-	,6.18
Isak Jensen ,185,91,0(11),134	,-	,-	,-	,-	,0.5	,67.9	,0.2	,-	,6.14
Caden Glover ,0,0,0(1),13	,-	,-	,-	,-	,-	,-	,-	,-	,5.97
