Age,Position,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
28,AM(C)/FW,Karol Swiderski ,184,77,30(2),2518	,12	,5	,6	,-	,2.6	,72.8	,0.8	,2	,6.79
25,GK,George Marks ,185,75,7,630	,-	,-	,1	,-	,-	,74	,0.1	,1	,6.74
27,AM(CLR),Kamil Józwiak ,176,70,16(10),1446	,2	,5	,5	,-	,0.5	,77.9	,0.9	,2	,6.74
23,AM(LR),Kerwin Vargas ,180,70,19(11),1572	,5	,3	,4	,-	,1.3	,82.5	,0.5	,2	,6.72
36,M(CLR)/FW,Justin Meram ,185,75,13(13),1345	,4	,3	,3	,-	,0.7	,84.8	,0.3	,3	,6.67
23,D(C),Adilson Malanda ,185,75,30,2659	,-	,1	,6	,-	,0.3	,81.5	,3.4	,-	,6.67
24,AM(CR),Ben Bender ,0,0,11(6),910	,3	,2	,1	,-	,1	,80.5	,0.8	,2	,6.63
32,GK,Kristijan Kahlina ,188,0,25,2250	,-	,2	,2	,-	,-	,68.3	,0.2	,1	,6.61
29,AM(R)/FW,Enzo Copetti ,178,74,24(3),2055	,6	,1	,8	,-	,1.4	,65.4	,2.3	,1	,6.58
30,D(L)/M(L),Jere Uronen ,177,69,8(2),655	,-	,-	,-	,-	,0.5	,82.5	,1.3	,-	,6.56
35,DMC,Ashley Westwood ,175,80,30,2622	,3	,2	,6	,-	,0.6	,84.2	,0.3	,-	,6.49
38,D(LR)/M(R),Harrison Afful ,171,67,11(4),951	,-	,1	,3	,-	,0.3	,85	,0.7	,-	,6.49
28,D(C)/M(C),Derrick Jones ,193,80,20(8),1844	,-	,-	,11	,-	,0.6	,87.8	,0.9	,-	,6.49
25,D(LR),Jaylin Lindsey ,178,77,15(6),1306	,1	,2	,3	,-	,0.3	,80.4	,1	,1	,6.47
29,D(R)/M(C),Brandt Bronico ,176,70,31(2),2688	,1	,1	,5	,-	,0.5	,80.8	,0.8	,-	,6.46
26,M(CL),Nuno Santos ,179,73,2(3),218	,-	,-	,1	,-	,1	,80.4	,0.2	,-	,6.42
27,AM(R),McKinze Gaines ,181,74,8(11),738	,1	,1	,3	,-	,0.4	,81.2	,0.2	,-	,6.41
29,GK,Pablo Sisniega ,190,80,3,270	,-	,-	,-	,-	,-	,63.8	,0.3	,-	,6.39
30,D(CR),Bill Tuiloma ,178,79,15(2),1352	,-	,-	,2	,-	,0.4	,84.3	,2	,-	,6.37
28,D(C),Guzmán Corujo ,189,85,5(1),358	,-	,-	,2	,-	,0.5	,80.1	,1.5	,-	,6.36
32,D(LR)/M(R),Nathan Byrne ,180,84,30(2),2691	,-	,1	,7	,-	,0.2	,80.9	,1	,-	,6.36
34,M(CLR),Brecht Dejaegere ,173,71,7(3),511	,1	,-	,-	,-	,1.2	,81.8	,0.4	,-	,6.36
32,D(L)/M(L),Joseph Mora ,170,60,2(2),190	,-	,-	,-	,-	,-	,64.5	,1.3	,-	,6.34
23,Forward,Brandon Cambridge ,183,79,0(9),129	,2	,-	,-	,-	,0.4	,94.4	,-	,1	,6.27
24,D(C),Andrew Privett ,185,79,12(1),1133	,-	,-	,-	,-	,0.4	,84.4	,0.9	,-	,6.26
26,D(C),Jan Sobocinski ,186,0,6(7),639	,-	,-	,3	,-	,0.2	,83.6	,1	,-	,6.26
36,M(CLR),Scott Arfield ,178,70,2(12),428	,2	,-	,1	,-	,0.9	,81.2	,0.4	,-	,6.25
22,Forward,Vinicius Mello ,178,84,0(3),54	,-	,-	,-	,-	,0.3	,87	,0.3	,-	,6.22
24,FW,Patrick Agyemang ,193,0,1(12),230	,2	,-	,3	,-	,0.6	,74.4	,0.9	,-	,6.18
23,Defender,Hamady Diop ,183,84,0(3),35	,-	,-	,-	,-	,-	,63.6	,1	,-	,6.18
27,AM(CLR)/FW,Andre Shinyashiki ,176,69,2(3),191	,-	,-	,1	,-	,0.6	,77.5	,0.2	,-	,6.13
23,Midfielder,Christopher Hegardt ,175,65,0(4),54	,-	,-	,1	,-	,-	,88	,0.3	,-	,6.07
